Medicine Name,Uses,Manufacturer
Panex-CR 25 Tablet,Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder,Micro Labs Ltd
Panum 40 Tablet,Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,J B Chemicals and Pharmaceuticals Ltd
Prizide-M 80 Tablet,Treatment of Type 2 diabetes mellitus,Primus Remedies Pvt Ltd
Prazopress 1 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Heart failureTreatment of Benign prostatic hyperplasia,Sun Pharmaceutical Industries Ltd
Pregabid OD 100 Tablet SR,Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia,Intas Pharmaceuticals Ltd
Prelogic Capsule,Treatment of Neuropathic pain,Janssen Pharmaceuticals
PPG Met 0.2 Tablet SR,Treatment of Type 2 diabetes mellitus,Abbott
Pilot M 10mg/120mg Tablet,Treatment of Sneezing and runny nose due to allergies,SKN Organics
Pionorm 15 Tablet,Treatment of Type 2 diabetes mellitus,Micro Labs Ltd
Pangraf 0.25 Capsule, Prevention of organ rejection in transplant patients,Panacea Biotec Ltd
Planep-T 20 Kit, Edema,Lupin Ltd
Palido-OD 3 Tablet ER, Schizophrenia Mania,Torrent Pharmaceuticals Ltd
Protol  -XL 50 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackPrevention of Migraine,Eris Lifesciences Ltd
Persinal 75IU Injection, Female infertility Male hypogonadism Male infertility,Serum Institute Of India Ltd
Preega M 75 Capsule,Treatment of Neuropathic pain,Talent India 
Presmovac 1 Tablet,Treatment of Constipation,Torrent Pharmaceuticals Ltd
Palido-OD 6 Tablet ER, Schizophrenia Mania,Torrent Pharmaceuticals Ltd
Panimun Bioral 50mg Capsule, Prevention of organ rejection in transplant patients Rheumatoid arthritis PsoriasisPrevention of graft rejection following Bone marrow transplantationTreatment of Nephrotic syndrome,Panacea Biotec Ltd
Protol-XL 25 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackPrevention of Migraine,Eris Lifesciences Ltd
Pomalid 2mg Capsule, Multiple myeloma,Natco Pharma Ltd
Pantodac-IT Capsule SR, Gastroesophageal reflux disease (Acid reflux) Peptic ulcer disease,Zydus Cadila
Pradil 150 Tablet, Arrhythmia,Emcure Pharmaceuticals Ltd
Pantin 40mg Injection,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Hetero Drugs Ltd
Phexin Kid Tablet DT,Treatment of Bacterial infections,Glaxo SmithKline Pharmaceuticals Ltd
Pioglar-G Tablet,Treatment of Type 2 diabetes mellitus,Sun Pharmaceutical Industries Ltd
Pregalin Forte Capsule, Neuropathic pain,Torrent Pharmaceuticals Ltd
Pregalin Forte Capsule, Neuropathic pain,Torrent Pharmaceuticals Ltd
Plagerine-A 150 Capsule, Prevention of heart attack and stroke,Micro Labs Ltd
Patroxta 12.5 Tablet PR,Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder,Arinna Lifescience Pvt Ltd
Podocip 200mg Tablet,Treatment of Bacterial infections,Cipla Ltd
Pirox Gel 30gm for Skin Infections, Pain relief,Cipla Ltd
Pulmonext 10 Tablet, Pulmonary arterial hypertension (PAH),MSN Laboratories
Pansec 40mg Injection,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Cipla Ltd
Pinom-H 20 Tablet, Hypertension (high blood pressure),Lupin Ltd
Pentasa 1gm Enema,Treatment of Ulcerative colitis,Ferring Pharmaceuticals
Primigyn 0.5mg Gel, Induction of labour,Bharat Serums & Vaccines Ltd
Piritexyl Plus Cough Syrup,Treatment of Dry cough,Jenburkt Pharmaceuticals Ltd
Pregadoc 75 Capsule,Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia,Lupin Ltd
Prenura NT Tablet,Treatment of Neuropathic pain,Pulse Pharmaceuticals
Pioglit 7.5 Tablet,Treatment of Type 2 diabetes mellitus,Sun Pharmaceutical Industries Ltd
Piritexyl Plus Cough Syrup,Treatment of Dry cough,Jenburkt Pharmaceuticals Ltd
Paxi-CR 12.5 Tablet,Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder,OSR Pharmaceuticals Pvt Ltd
Pivasta 1 Tablet, High cholesterol Prevention of heart attack and stroke,Zydus Cadila
Petolo Eye Drop,Treatment of Allergic conditions,Sapient Laboratories Pvt Ltd
Predace 16 Tablet,Treatment of Rheumatic disorderTreatment of Systemic lupus erythematosus (SLE)Treatment of Allergic conditionsTreatment of Eye disordersTreatment of Skin disorders,Micro Labs Ltd
Princiclav 500 mg/125 mg Tablet,Treatment of Bacterial infections,Macleods Pharmaceuticals Pvt Ltd
Predace 8mg Tablet,Treatment of Rheumatic disorderTreatment of Systemic lupus erythematosus (SLE)Treatment of Allergic conditionsTreatment of Eye disordersTreatment of Skin disorders,Micro Labs Ltd
Pulmofib 200mg Tablet,Treatment of Idiopathic pulmonary fibrosis,MSN Laboratories
Plagril 75 Tablet, Prevention of heart attack and stroke Heart attack Peripheral vascular disease,Dr Reddy's Laboratories Ltd
Pregalin SR 150 Tablet,Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia,Torrent Pharmaceuticals Ltd
Prostado-D Tablet ER,Treatment of Benign prostatic hyperplasia,Dios Lifesciences Pvt Ltd
Phytoral Dusting Powder, Fungal skin infections,Micro Labs Ltd
Pexep 20 Tablet,Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder,Intas Pharmaceuticals Ltd
Pregabid 150 Capsule,Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia,Intas Pharmaceuticals Ltd
Pinodin TX-SR Tablet,Treatment of Bleeding,Nexgen Rx Life Science Pvt Ltd
Praiscort Ointment, Skin conditions with inflammation & itchingTreatment of Rheumatoid arthritisTreatment of Osteoarthritis,Praise Pharma
Pantafol 40mg Tablet,Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Leeford Healthcare Ltd
Piokind-M 15 Tablet,Treatment of Type 2 diabetes mellitus,Mankind Pharma Ltd
Prandial M 0.3 Tablet,Treatment of Type 2 diabetes mellitus,Cipla Ltd
P Zole 40mg Tablet,Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,D D Pharmaceuticals
Prasusafe 10 Tablet,Prevention of Heart attackPrevention of Stroke,MSN Laboratories
Pioglar 15 Tablet,Treatment of Type 2 diabetes mellitus,Sun Pharmaceutical Industries Ltd
Picozy Syrup Sugar Free,Treatment of Constipation,Scorleon Pharma
Pinom CT 40 Tablet, Hypertension (high blood pressure),Lupin Ltd
Pregalex-M Capsule,Treatment of Neuropathic pain,Solvate Laboratries Pvt Ltd
Paxotus 12.5mg Tablet,Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder,Emcure Pharmaceuticals Ltd
Pantofix D Capsule PR,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Bal Pharma Ltd
Pioglit 30 Tablet,Treatment of Type 2 diabetes mellitus,Sun Pharmaceutical Industries Ltd
Pramirol SR 1.05 Tablet, Parkinson's disease Restless leg syndrome,Intas Pharmaceuticals Ltd
Pynomax - OD Tablet SR,Treatment of Bleeding,Galcare Pharmaceutical Pvt Ltd
Pentanerv 450mg Tablet SR,Treatment of Neuropathic painTreatment of Epilepsy/Seizures,Alkem Laboratories Ltd
Powercort-S 6% Ointment, Eczema Psoriasis,Glenmark Pharmaceuticals Ltd
Polyclav Kid Tablet,Treatment of Resistance Tuberculosis (TB)Treatment of Bacterial infections,Macleods Pharmaceuticals Pvt Ltd
Protol-AM Tablet PR,Treatment of Hypertension (high blood pressure),Eris Lifesciences Ltd
Pregabid M OD 100 Tablet SR,Treatment of Neuropathic pain,Intas Pharmaceuticals Ltd
Pantin RD 10mg/20mg Tablet,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Hetero Drugs Ltd
Ppson 40mg Capsule,Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Unison Pharmaceuticals Pvt Ltd
Pruflox Tablet, Urinary tract infections (UTIs),Cipla Ltd
Pilzban Cream, Fungal skin infections,La Pristine Bioceuticals Pvt Ltd
Pulmopres Tablet,Treatment of Pulmonary arterial hypertension (PAH),Cipla Ltd
P 125 Tablet DT, Pain reliefTreatment of Fever,Apex Laboratories Pvt Ltd
Powercef 1gm Injection,Treatment of Bacterial infections,Dr Reddy's Laboratories Ltd
Patinex 12.5mg Tablet,Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder,Linux Laboratories
PP Set DSR Capsule,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Gracious Pharmaceuticals
Povinanz Ointment,Treatment and prevention of Wound infection,Nanz Med Science Pharma Ltd
Panido-D Tablet,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Shine Pharmaceuticals Ltd
Prosovit 75 Capsule,Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia,Biochem Pharmaceutical Industries
Pubergen JO 7500IU Injection,Treatment of Female infertilityTreatment of Male hypogonadism,Sanzyme Ltd
Pinom CT 20 Tablet, Hypertension (high blood pressure),Lupin Ltd
Pyrope NTM Tablet SR,Treatment of Neuropathic pain,Arinna Lifescience Pvt Ltd
Pirfetab Tablet,Treatment of Idiopathic pulmonary fibrosis,Zydus Cadila
Povirobes Ointment, Wound infection,Alkem Laboratories Ltd
Pinodin-TX Plus Tablet,Treatment of Varicose veins,Nexgen Rx Life Science Pvt Ltd
Praxet 12.5mg Tablet CR,Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder,Solvate Laboratries Pvt Ltd
Pronate 20 Tablet,Treatment of PheochromocytomaTreatment of Hypertension (high blood pressure) Prevention of migraineTreatment of AnxietyTreatment of ArrhythmiaPrevention of Heart attackPrevention of Angina (heart-related chest pain)Treatment of Tremors,Linux Laboratories
Poliovac PFS Vaccine,Prevention of Polio,Serum Institute Of India Ltd
Progaba 100mg Tablet,Treatment of Neuropathic painTreatment of Epilepsy/Seizures,Icon Life Sciences
Podxetil CV 200mg/125mg Tablet,Treatment of Respiratory tract infection,Koye Pharmaceuticals Pvt ltd
Prednol-LS Eye Drop, Redness and swelling in the eye,Optho Life Sciences Pvt Ltd
Psorid 25 Capsule, Prevention of organ rejection in transplant patients Rheumatoid arthritis PsoriasisPrevention of graft rejection following Bone marrow transplantationTreatment of Nephrotic syndrome,Biocon
Prelin 75 Capsule,Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia,Intas Pharmaceuticals Ltd
Pariwave CR 12.5 Tablet,Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder,Brainwave Healthcare Pvt Ltd
Panbloc Tablet,Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Tablets India Limited
Pidotimune 400 Tablet, Diseases of respiratory tract,La Renon Healthcare Pvt Ltd
Predsol Eye Drop,Treatment of Redness and swelling in the eye,Entod Pharmaceuticals Ltd
Pionorm 30 Tablet,Treatment of Type 2 diabetes mellitus,Micro Labs Ltd
Paradise XR 25 Tablet,Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder,Torrent Pharmaceuticals Ltd
Piomed 15 Tablet,Treatment of Type 2 diabetes mellitus,Ipca Laboratories Ltd
PUC 250mg/5ml Suspension, Pain reliefTreatment of Fever,Alkem Laboratories Ltd
Plasmaglob 5gm Injection, Immunoglobulins deficiency,PlasmaGen Biosciences Pvt Ltd
Prelid 4mg Tablet,Treatment of Rheumatic disorderTreatment of Systemic lupus erythematosus (SLE)Treatment of Allergic conditionsTreatment of Eye disordersTreatment of Skin disorders,Glowderma Labs Pvt Ltd
Patinex 25mg Tablet,Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder,Linux Laboratories
Pin OM-M 50 Tablet, Hypertension (high blood pressure),Lupin Ltd
Pptroy D Capsule PR,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Troikaa Pharmaceuticals Ltd
Pansa-D Tablet,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Zuventus Healthcare Ltd
Prazo-DSR Capsule,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Maxamus Pharma Pvt Ltd
Paragreat 650mg Tablet, Pain reliefTreatment of Fever,Mankind Pharma Ltd
Polaramine Paediatric Syrup,Treatment of Allergic conditions,Fulford India Ltd
Pregadoc M - SR 75 Tablet,Treatment of Neuropathic pain,Lupin Ltd
Pentol Eye Drop, Eye examination Uveitis,Klar Sehen Pvt Ltd
Penegra Xpress 25mg Tablet,Treatment of Erectile dysfunction,Zydus Cadila
Progaba AM Tablet,Treatment of Neuropathic pain,Icon Life Sciences
Piopar-MF 15 Tablet ER,Treatment of Type 2 diabetes mellitus,Mitoch Pharma Pvt Ltd
Palip XR 3 Tablet, Schizophrenia Mania,Intas Pharmaceuticals Ltd
Prexaron 500 Tablet,Treatment of StrokeTreatment of Head injuryTreatment of Alzheimer's diseaseTreatment of Dementia in Parkinson's disease,Intas Pharmaceuticals Ltd
Pramirol 1 Tablet, Parkinson's disease Restless leg syndrome,Intas Pharmaceuticals Ltd
Podxetil  200mg Tablet,Treatment of Bacterial infections,Koye Pharmaceuticals Pvt ltd
Powercort-S 6% Lotion,Treatment of EczemaTreatment of Psoriasis,Glenmark Pharmaceuticals Ltd
Proceive SR 200 Tablet, Hormone replacement therapy Female infertility,Dr Reddy's Laboratories Ltd
Pexoclav 625 Tablet,Treatment of Bacterial infections,Apex Laboratories Pvt Ltd
Petolo-OD  Eye Drop,Treatment of Allergic conditions,Sapient Laboratories Pvt Ltd
Pirament Syrup, Alzheimer's disease Stroke Dementia in Parkinson's disease Age related memory loss Head injury,Ipca Laboratories Ltd
Pin OM-M 25 Tablet ER, Hypertension (high blood pressure),Lupin Ltd
Pexep 40 Tablet,Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder,Intas Pharmaceuticals Ltd
Panimun Bioral 25mg Capsule, Prevention of organ rejection in transplant patients Rheumatoid arthritis PsoriasisPrevention of graft rejection following Bone marrow transplantationTreatment of Nephrotic syndrome,Mankind Pharma Ltd
Prexaron Syrup Sugar Free,Treatment of StrokeTreatment of Head injuryTreatment of Alzheimer's diseaseTreatment of Dementia in Parkinson's disease,Intas Pharmaceuticals Ltd
Peredom 20 mg/650 mg Tablet,Treatment of Migraine,Med Manor Organics Pvt Ltd
Pyrope NT  75mg/10mg Tablet,Treatment of Neuropathic pain,Arinna Lifescience Pvt Ltd
Pentowok D Tablet,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Wockhardt Ltd
Paxotus 25 Tablet PR,Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder,Emcure Pharmaceuticals Ltd
Pregastar Plus SR 75 Tablet, Neuropathic pain,Lupin Ltd
Pregastar Plus SR 75 Tablet, Neuropathic pain,Lupin Ltd
Propess Pessaries, Induction of labour,Ferring Pharmaceuticals
Patalo-DS Eye Drops,Treatment of Allergic conditions,Klar Sehen Pvt Ltd
Polyclav 250mg/125mg Tablet,Treatment of Bacterial infections,Macleods Pharmaceuticals Pvt Ltd
Picasa 40mg Oral Suspension, Severe fungal infections,Intas Pharmaceuticals Ltd
Pedwin Tablet,Treatment of Neuropathic pain,Medopharm
Pinoin 0.025% Cream,Treatment of Acne Acute promyelocytic leukaemia,East West Pharma
Prisben AC 2.5% Gel,Treatment of Acne,Prism Life Sciences Ltd
Paragreat 250mg Suspension, Pain reliefTreatment of Fever,Mankind Pharma Ltd
Prestiq 100 Tablet ER, Depression,Pfizer Ltd
PUC 650 Tablet, Pain reliefTreatment of Fever,Alkem Laboratories Ltd
Pinoin 10mg Capsule,Treatment of Acne,East West Pharma
Pregcert 200 Capsule, Hormone replacement therapyTreatment of Female infertility,Koye Pharmaceuticals Pvt ltd
Parot-CR 12.5 Tablet,Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder,ZDL(Zodiacal) Pharmaceutics Pvt.Ltd
Pantapar-DSR Capsule,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Vivid Biotek Pvt Ltd
Parona CR 12.5 Tablet,Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder,Quince Lifesciences Pvt Ltd
Provate S Ointment,Treatment of EczemaTreatment of Psoriasis,Percos India Pvt  Ltd
Pansa DSR Capsule,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Zuventus Healthcare Ltd
Parawel 650mg Tablet, Pain reliefTreatment of Fever,Med Manor Organics Pvt Ltd
Pop IT Capsule SR, Gastroesophageal reflux disease (Acid reflux) Peptic ulcer disease,Hn Cure Pharma Pvt Ltd
Penegra Pah Tablet,Treatment of Pulmonary arterial hypertension (PAH),Zydus Cadila
Pantex-D SR Capsule,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Tycoon Pharmaceuticals Pvt Ltd
Pexopram 0.125mg Tablet, Parkinson's disease Restless leg syndrome,La Renon Healthcare Pvt Ltd
Paracip Drops, Pain reliefTreatment of Fever,Cipla Ltd
Pacimol XP Tablet DT, Pain reliefTreatment of Fever,Ipca Laboratories Ltd
Pregcert -AQ 25 Injection, Hormone replacement therapyTreatment of Female infertility,Koye Pharmaceuticals Pvt ltd
Pramodep 50mg Tablet, Anxiety disorder,Arinna Lifescience Pvt Ltd
Pregabid OD 150 Tablet,Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia,Intas Pharmaceuticals Ltd
Pexpen-CR 25 Tablet,Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder,Aspen Pharma
PUC 125 Suspension, Pain reliefTreatment of Fever,Alkem Laboratories Ltd
Pratham 100 Rediuse Oral Suspension,Treatment of Bacterial infections,Alkem Laboratories Ltd
Pexep 30 Tablet,Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder,Intas Pharmaceuticals Ltd
Prasuvas 10 Tablet,Prevention of Heart attackPrevention of Stroke,Cipla Ltd
Prandial M 0.2 Tablet,Treatment of Type 2 diabetes mellitus,Cipla Ltd
Piosafe 15 Tablet,Treatment of Type 2 diabetes mellitus,Aristo Pharmaceuticals Pvt Ltd
Prandial 0.3 MD Tablet,Treatment of Type 2 diabetes mellitus,Cipla Ltd
Pregabid ME 150 Capsule,Treatment of Neuropathic pain,Intas Pharmaceuticals Ltd
Plaintar-CS Lotion, Psoriasis,Salve Pharmaceuticals Pvt Ltd
Pop DSR Capsule,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Winsome Bioceuticals
Parona CR 25 Tablet,Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder,Quince Lifesciences Pvt Ltd
